,SalePrice,FullBath,HalfBath,BedroomAbvGr,YrSold,Top5,LotArea,YearBuilt,GrLivArea,GarageArea,FancyHouse,TallHouse,LessDense,GarageCars,TotalBsmtSF
37,153000,1,0,3,2009,0,8532,1954,1297,498,1,0,1,2,1297
38,109000,1,0,3,2010,0,7922,1953,1057,246,1,0,1,1,1057
39,82000,2,0,2,2008,0,6040,1955,1152,0,0,0,1,0,0
40,160000,2,0,3,2006,0,8658,1965,1324,440,1,0,1,2,1088
41,170000,1,1,2,2007,1,16905,1959,1328,308,1,0,1,1,1350
42,144000,1,0,2,2007,0,9180,1983,884,504,1,0,1,2,840
43,130250,1,0,3,2008,0,9200,1975,938,308,1,0,1,1,938
44,141000,1,0,3,2006,0,7945,1959,1150,300,1,0,1,1,1150
45,319900,2,0,2,2010,1,7658,2005,1752,576,1,0,1,2,1752
46,239686,1,1,1,2009,0,12822,2003,2149,670,1,0,1,2,1434
47,249700,2,0,3,2007,0,11096,2006,1656,826,1,0,1,3,1656
48,113000,2,0,2,2009,0,4456,1920,1452,0,0,1,0,0,736
49,127000,1,0,3,2007,0,7742,1966,955,386,1,0,1,1,955
50,177000,2,0,3,2007,0,13869,1997,1470,388,1,1,1,2,794
51,114500,1,0,3,2006,0,6240,1934,1176,528,1,0,0,2,816
52,110000,1,0,2,2010,0,8472,1963,816,516,0,0,0,2,816
53,385000,0,1,0,2006,1,50271,1981,1842,894,1,0,1,3,1842
54,130000,1,0,3,2007,0,7134,1955,1360,572,1,0,1,2,384
55,180500,2,0,3,2008,0,10175,1964,1425,576,1,0,1,2,1425
56,172500,2,1,3,2009,0,2645,1999,1739,480,0,1,1,2,970
57,196500,2,1,3,2006,0,11645,2004,1720,565,1,1,1,2,860
58,438780,3,1,3,2006,1,13682,2006,2945,641,1,1,1,3,1410
59,124900,1,0,2,2008,0,7200,1972,780,352,1,0,1,1,780
60,158000,1,1,3,2006,0,13072,2004,1158,576,1,0,1,2,1158
61,101000,1,0,3,2007,0,7200,1920,1111,288,1,1,0,1,530
62,202500,2,0,2,2007,1,6442,2006,1370,484,1,0,1,2,1370
63,140000,2,0,3,2010,0,10300,1921,1710,480,1,1,0,2,576
64,219500,2,1,3,2009,0,9375,1997,2034,645,1,1,1,2,1057
65,317000,2,1,4,2007,1,9591,2004,2473,852,1,1,1,3,1143
66,180000,2,0,3,2010,0,19900,1970,2207,576,1,0,1,2,1947
67,226000,2,0,3,2007,0,10665,2003,1479,558,1,0,1,2,1453
68,80000,1,0,2,2010,0,4608,1945,747,220,1,0,0,1,747
69,225000,2,0,3,2006,0,15593,1953,2287,667,1,0,1,2,1304
70,244000,2,0,3,2007,0,13651,1973,2223,516,1,0,1,2,2223
71,129500,1,0,2,2007,0,7599,1982,845,360,1,0,1,2,845
72,185000,2,1,3,2009,0,10141,1998,1718,427,1,1,1,2,832
73,144900,1,0,3,2010,0,10200,1954,1086,490,1,0,1,2,1086
74,107400,2,0,3,2010,0,5790,1915,1605,379,1,1,0,1,840
75,91000,1,0,2,2009,0,1596,1973,988,297,0,0,0,1,462
76,135750,1,0,2,2008,0,8475,1956,952,283,1,0,1,1,952
77,127000,1,0,2,2008,0,8635,1948,1285,240,1,0,0,1,672
78,136500,2,0,4,2010,0,10778,1968,1768,0,0,0,1,0,1768
79,110000,1,1,2,2009,0,10440,1910,1230,440,1,1,0,2,440
80,193500,2,1,4,2009,0,13000,1968,2142,509,1,1,1,1,896
81,153500,2,0,2,2006,0,4500,1998,1337,405,1,0,0,2,1237
82,245000,2,0,3,2008,0,10206,2007,1563,758,1,0,1,3,1563
83,126500,1,1,3,2007,0,8892,1960,1065,461,1,0,1,2,1065
84,168500,2,1,3,2009,0,8530,1995,1474,400,1,0,1,2,384
85,260000,2,1,4,2006,1,16059,1991,2417,462,1,1,1,2,1288
86,174000,2,1,3,2009,0,11911,2005,1560,400,1,1,1,2,684
87,164500,2,1,2,2009,0,3951,2009,1224,528,1,1,1,2,612
89,123600,1,0,3,2007,0,8070,1994,990,0,1,0,1,0,990
90,109900,1,0,2,2006,0,7200,1950,1040,420,1,0,1,2,0
91,98600,1,0,2,2006,0,8500,1961,1235,480,1,0,1,2,1235
92,163500,1,0,2,2009,0,13360,1921,964,432,1,0,1,2,876
94,204750,2,1,3,2007,0,9337,1997,1786,684,1,1,1,2,824
95,185000,2,1,3,2009,0,9765,1993,1470,420,1,1,1,2,680
96,214000,2,0,3,2006,0,10264,1999,1588,472,1,0,1,2,1588
97,94750,1,0,3,2007,0,10921,1965,960,432,1,0,1,1,960
98,83000,1,0,2,2010,0,10625,1920,835,366,1,0,1,1,458
99,128950,1,1,3,2010,0,9320,1959,1225,0,1,0,1,0,950
100,205000,2,0,3,2010,0,10603,1977,1610,480,1,0,1,2,1610
101,178000,2,1,3,2010,0,9206,1985,1732,476,1,1,1,2,741
102,118964,2,0,4,2009,0,7018,1979,1535,410,0,0,1,2,0
103,198900,2,0,3,2010,0,10402,2009,1226,740,1,0,1,3,1226
104,169500,1,1,4,2007,0,7758,1931,1818,240,1,0,0,1,1040
105,250000,2,1,3,2008,0,9375,2003,1992,648,1,1,1,2,1053
106,100000,1,0,2,2007,0,10800,1885,1047,273,1,0,0,1,641
107,115000,1,0,2,2008,0,6000,1948,789,250,1,0,0,1,789
108,115000,2,0,3,2007,0,8500,1919,1517,0,1,0,0,0,793
109,190000,2,0,3,2010,0,11751,1977,1844,546,1,0,1,2,1844
110,136900,2,0,4,2006,0,9525,1954,1855,325,1,0,1,1,994
111,180000,2,1,3,2010,0,7750,2000,1430,400,1,0,1,2,384
112,383970,2,1,4,2007,0,9965,2007,2696,792,1,1,1,3,1264
113,217000,2,0,3,2007,0,21000,1953,2259,450,1,0,1,2,1809
114,259500,2,1,3,2007,0,7259,1945,2320,180,1,1,1,1,1028
115,176000,2,1,2,2007,0,3230,1999,1458,440,1,1,1,2,729
116,139000,1,0,3,2009,0,11616,1962,1092,288,1,0,1,1,1092
117,155000,1,1,2,2007,0,8536,2006,1125,430,1,0,1,2,1125
118,320000,3,0,5,2010,0,12376,1990,3222,594,1,1,1,3,1673
119,163990,2,1,3,2006,0,8461,2005,1456,390,1,1,1,2,728
120,180000,1,0,1,2006,0,21453,1969,988,540,1,0,1,2,938
121,100000,1,0,3,2007,0,6060,1939,1123,264,1,0,0,1,732
122,136000,1,0,3,2008,0,9464,1958,1080,288,1,0,1,1,1080
123,153900,2,0,2,2008,0,7892,1993,1199,530,1,0,1,2,1199
124,181000,2,0,3,2009,0,17043,1979,1586,435,1,0,1,2,1362
125,84500,1,0,2,2006,0,6780,1935,754,0,0,0,0,0,520
126,128000,2,0,2,2007,0,4928,1976,958,440,1,0,1,2,1078
127,87000,1,0,3,2007,0,4388,1930,840,0,1,0,0,0,672
128,155000,1,1,3,2006,0,7590,1966,1348,453,1,1,1,2,660
129,150000,1,1,3,2006,0,8973,1958,1053,750,1,0,1,2,1008
130,226000,2,1,4,2006,0,14200,1966,2157,487,1,1,1,2,924
131,244000,2,1,3,2009,0,12224,2000,2054,390,1,1,1,2,992
132,150750,1,0,3,2007,0,7388,1959,1327,624,1,0,1,2,1063
133,220000,2,0,2,2009,1,6853,2001,1296,471,1,0,1,2,1267
134,180000,2,1,3,2006,0,10335,1968,1721,440,1,0,1,2,1461
135,174000,2,0,3,2008,0,10400,1970,1682,530,1,0,1,2,1304
136,143000,2,0,3,2007,0,10355,1967,1214,318,1,0,1,1,1214
137,171000,3,0,5,2006,0,11070,1988,1959,766,0,0,1,3,1907
138,230000,2,1,3,2008,0,9066,1999,1852,660,1,1,1,3,1004
139,231500,2,1,3,2009,0,15426,1997,1764,470,1,1,1,2,928
140,115000,1,0,3,2010,0,10500,1971,864,0,1,0,1,0,864
141,260000,2,0,3,2006,0,11645,2005,1734,660,1,0,1,2,1734
142,166000,2,0,4,2010,0,8520,1952,1385,720,1,0,1,2,910
143,204000,2,0,3,2009,0,10335,1999,1501,577,1,0,1,2,1490
144,125000,2,0,6,2006,0,9100,1963,1728,504,0,0,0,2,1728
145,130000,2,0,3,2006,0,2522,2004,1709,380,0,1,0,2,970
146,105000,1,0,2,2009,0,6120,1931,875,180,1,0,0,1,715
147,222500,2,1,3,2010,0,9505,2001,2035,434,1,1,1,2,884
148,141000,1,0,3,2008,0,7500,2004,1080,0,1,0,1,0,1080
149,115000,1,0,3,2006,0,6240,1936,1344,240,1,0,0,1,896
150,122000,1,1,3,2007,0,10356,1975,969,440,1,0,1,2,969
151,372402,2,0,2,2008,1,13891,2007,1710,866,1,0,1,3,1710
152,190000,2,1,4,2006,0,14803,1971,1993,495,1,1,1,2,825
153,235000,1,0,1,2008,0,13500,1960,1252,564,1,0,1,2,1602
154,125000,1,0,4,2006,0,11340,1923,1200,312,1,0,0,1,1200
155,79000,1,0,2,2008,0,9600,1924,1096,0,1,0,1,0,572
156,109500,1,0,2,2006,0,7200,1950,1040,625,1,0,1,2,0
157,269500,2,1,4,2010,1,12003,2009,1968,680,1,1,1,3,774
158,254900,2,1,3,2010,0,12552,2004,1947,678,1,1,1,2,991
159,320000,2,1,4,2006,0,19378,2005,2462,576,1,1,1,2,1392
160,162500,2,0,3,2008,1,11120,1984,1232,516,1,0,1,2,1232
161,412500,2,1,3,2008,1,13688,2003,2668,726,1,1,1,3,1572
162,220000,2,0,3,2010,1,12182,2005,1541,532,1,0,1,2,1541
163,103200,1,0,1,2007,0,5500,1956,882,0,1,0,1,0,882
164,152000,2,0,3,2007,0,5400,1926,1616,216,1,0,0,1,1149
165,127500,2,0,4,2008,0,10106,1940,1355,0,0,0,1,0,644
166,190000,1,0,2,2009,0,10708,1955,1867,303,1,0,1,1,1617
167,325624,1,1,3,2007,1,10562,2007,2161,789,1,1,1,3,1582
168,183500,2,1,3,2007,0,8244,2004,1720,440,1,1,1,2,840
169,228000,2,1,2,2006,1,16669,1981,1707,511,1,0,1,2,1686
170,128500,1,1,2,2007,0,12358,1941,1382,660,1,0,0,2,720
171,215000,1,0,3,2010,0,31770,1960,1656,528,1,0,1,2,1080
172,239000,2,0,2,2006,1,5306,1987,1767,504,1,1,1,2,1064
173,163000,1,1,3,2008,0,10197,1961,1362,504,1,0,1,2,1362
174,184000,2,0,3,2008,1,12416,1986,1651,616,1,0,1,2,1606
175,243000,2,0,4,2007,0,12615,1950,2158,576,1,0,1,2,1202
176,211000,2,1,4,2007,0,10029,1988,2060,521,1,1,1,2,1151
177,172500,2,0,4,2006,0,13650,1958,1920,451,1,0,1,2,1052
178,501837,2,0,1,2009,1,17423,2008,2234,1166,1,0,1,3,2216
179,100000,1,0,2,2007,0,8520,1923,968,480,1,0,0,2,968
180,177000,2,1,3,2007,0,2117,2000,1525,440,0,1,1,2,756
181,200100,1,1,4,2006,0,7588,1920,1802,216,1,1,1,1,793
182,120000,1,0,3,2007,0,9060,1957,1340,252,1,0,1,1,0
183,200000,2,1,3,2008,0,11426,2003,2082,484,1,0,0,2,1362
184,127000,1,0,3,2006,0,7438,1908,1252,576,1,0,1,2,504
185,475000,2,1,4,2006,0,22950,1892,3608,840,1,1,0,3,1107
186,173000,2,0,3,2009,0,9947,1990,1217,497,1,0,1,2,1188
187,135000,2,1,3,2009,0,10410,1916,1656,180,1,0,1,1,660
188,153337,0,2,2,2009,0,7018,1979,1224,528,0,0,1,2,1086
189,286000,1,1,0,2008,1,4923,2001,1593,682,1,0,1,2,1593
190,315000,2,1,3,2007,0,10570,1932,2727,440,1,1,1,2,853
191,184000,1,1,4,2007,0,7472,1972,1479,484,1,1,1,2,725
192,192000,2,0,3,2009,0,9017,1999,1431,666,1,0,1,2,1431
193,130000,2,0,3,2006,0,2522,2004,1709,380,0,1,0,2,970
194,127000,1,0,3,2008,0,7180,1972,864,352,1,0,1,1,864
195,148500,2,1,3,2009,0,2280,1976,1456,440,0,1,1,2,855
196,311872,2,0,3,2007,0,9416,2007,1726,786,1,0,1,3,1726
197,235000,2,0,4,2006,0,25419,1918,3112,795,1,1,1,2,1360
198,104000,1,0,5,2009,0,5520,1912,2229,0,1,1,0,0,755
199,274900,2,0,3,2009,1,9591,2004,1713,856,1,0,1,3,1713
200,140000,2,0,2,2010,0,8546,2003,1121,440,1,0,0,2,1121
201,171500,2,0,3,2008,0,10125,1977,1279,473,1,0,1,2,1196
202,112000,2,0,2,2006,0,7000,1924,1310,398,1,0,1,1,617
203,149000,1,0,1,2008,0,4438,2004,848,420,1,0,0,2,848
204,110000,1,1,2,2009,0,3500,1947,1284,240,1,0,0,1,720
205,180500,2,0,3,2009,0,11851,1990,1442,500,1,0,1,2,1424
206,143900,1,1,3,2007,0,13673,1962,1696,349,1,0,1,1,1140
207,141000,1,0,3,2008,0,12493,1960,1100,312,1,0,1,1,1100
208,277000,2,1,3,2007,0,14364,1988,2062,454,1,1,1,2,1157
209,145000,1,0,3,2008,0,8250,1964,1092,504,1,0,1,2,1092
210,98000,1,0,2,2008,0,5604,1925,864,0,1,0,1,0,864
211,186000,2,0,3,2010,0,10420,2009,1212,460,1,0,1,2,1212
212,252678,2,1,3,2009,0,8640,2009,1852,644,1,1,1,2,900
213,156000,1,0,3,2006,0,13568,1995,990,576,1,0,1,2,990
214,161750,1,1,3,2010,0,10900,1977,1392,299,1,1,1,1,689
215,134450,1,0,2,2006,0,10011,1957,1236,447,1,0,1,1,1070
216,210000,2,0,3,2008,0,8450,2004,1436,484,1,0,1,2,1436
217,107000,1,0,3,2006,0,9906,1925,1328,210,1,1,0,1,686
218,311500,1,1,3,2008,0,15660,1939,1954,431,1,0,1,2,798
219,167240,2,0,2,2006,0,3010,2005,1248,438,1,0,1,2,1248
220,204900,2,0,2,2006,0,8990,2006,1498,675,1,0,1,2,1498
221,200000,2,1,4,2009,0,8068,2002,2267,390,1,1,1,2,1010
222,179900,2,1,3,2006,0,11475,1975,1552,434,1,1,1,2,713
223,97000,1,0,2,2009,0,10500,1971,864,576,1,0,1,2,864
224,386250,2,0,3,2009,1,13472,2003,2392,968,1,0,1,3,2392
225,112000,2,1,3,2009,0,1680,1971,1302,280,0,1,0,1,630
226,290000,2,1,4,2007,1,9950,1995,2520,721,1,1,1,3,1203
227,106000,1,1,2,2008,0,1869,1970,987,280,0,1,0,1,483
228,125000,1,0,3,2010,0,8521,1967,912,336,1,0,1,1,912
229,192500,2,0,2,2009,0,3182,2005,1555,430,1,0,1,2,1373
230,148000,1,0,3,2010,0,8760,1959,1194,312,1,0,1,1,1194
231,403000,2,1,4,2009,1,15138,1995,2794,810,1,1,1,3,1462
232,94500,1,1,2,2006,0,1680,1972,987,288,0,1,0,1,483
233,128200,1,0,3,2010,0,10650,1976,894,308,1,0,1,1,894
234,216500,2,1,4,2010,0,7851,2002,1960,440,1,1,1,2,860
235,89500,1,1,2,2008,0,1680,1971,987,264,1,1,0,1,483
236,185500,2,0,3,2010,0,8773,2004,1414,494,1,0,1,2,1414
237,194500,2,1,3,2010,0,9453,1993,1744,457,1,1,1,2,996
238,318000,2,0,3,2007,1,12030,2007,1694,818,1,0,1,3,1694
239,113000,1,1,3,2010,0,8741,1945,1487,220,1,0,1,1,735
240,262500,2,0,3,2010,0,9000,2008,1566,750,1,0,1,2,1566
241,110500,1,0,2,2007,0,3880,1945,866,0,1,0,0,0,686
242,79000,1,0,3,2006,0,5000,1900,1440,352,1,0,0,1,540
243,120000,1,1,3,2009,0,10762,1980,1217,288,1,1,1,1,626
244,205000,2,1,3,2010,0,8880,1994,2110,463,1,1,1,2,948
245,241500,2,0,3,2006,0,10400,1988,1872,604,1,0,1,2,1845
246,137000,2,0,4,2006,0,9142,1910,1928,440,0,1,0,1,1020
247,140000,1,0,2,2006,0,11310,1954,1375,451,1,0,1,2,1367
248,180000,2,1,3,2007,0,11317,2003,1668,500,1,1,1,2,840
249,277000,2,0,4,2007,0,159000,1958,2144,389,1,0,1,2,1444
250,76500,1,0,3,2010,0,5350,1940,1306,0,1,0,1,0,728
251,235000,2,0,2,2007,0,4750,2006,1625,538,1,0,0,2,1573
252,173000,2,1,3,2008,0,8366,2004,1640,520,1,1,1,2,798
253,158000,2,0,3,2007,0,9350,1964,1302,309,1,0,1,1,1302
254,145000,1,0,3,2010,0,8400,1957,1314,294,1,0,1,1,1314
255,230000,2,1,4,2006,0,8738,1999,2291,429,1,1,1,2,975
256,207500,2,1,3,2008,0,8791,2003,1728,673,1,1,1,2,864
257,220000,2,1,3,2009,0,8814,2006,1604,660,1,0,1,2,1604
258,231500,2,1,3,2008,0,12435,2001,1792,564,1,1,1,2,963
259,97000,1,0,2,2008,0,12702,1956,882,308,1,0,0,1,0
260,176000,1,0,3,2009,0,19296,1962,1382,884,1,0,1,2,1362
261,276000,2,1,3,2007,0,9588,2007,2574,868,1,1,1,3,1482
262,151000,1,0,3,2006,0,8471,1977,1212,492,1,0,1,2,506
263,130000,1,0,3,2010,0,5500,1929,1316,484,1,0,0,2,926
264,73000,1,0,2,2008,0,5232,1925,764,504,1,0,0,2,680
265,175500,2,0,3,2008,0,12090,1981,1422,576,1,0,1,2,1422
266,185000,2,1,3,2006,0,11207,1997,1511,413,1,1,1,2,802
267,179500,2,1,4,2008,0,8400,1939,2192,240,1,1,1,1,720
268,120500,1,0,2,2008,0,6900,1940,778,924,1,0,0,1,740
269,148000,1,1,3,2007,0,7917,1976,1113,504,1,0,1,1,1143
270,266000,2,1,3,2006,0,10728,2006,1939,1053,1,1,1,3,1095
271,241500,1,0,2,2008,0,39104,1954,1363,439,1,0,1,2,1385
272,290000,2,1,4,2010,1,11764,1999,2270,671,1,1,1,3,1152
273,139000,2,0,3,2009,0,9600,1958,1632,338,1,0,1,1,1240
274,124500,1,0,2,2007,0,8314,1982,816,264,1,0,1,1,816
275,205000,2,1,3,2009,0,7264,1925,1548,672,1,0,1,2,952
276,201000,2,0,3,2010,0,9196,2003,1560,573,1,0,1,2,1560
277,141000,1,0,2,2010,0,19138,1951,864,400,1,0,1,2,864
278,415298,2,1,3,2007,1,14450,2006,2121,732,1,0,1,3,2121
279,192000,2,1,4,2008,0,10005,1977,2022,505,1,1,1,2,1160
280,228500,2,1,3,2007,0,11287,1989,1982,575,1,1,1,2,807
281,185000,2,0,2,2006,0,7200,2006,1262,572,1,0,1,2,1262
282,207500,2,0,2,2009,1,5063,2007,1314,626,0,0,1,2,1314
283,244600,2,0,3,2009,0,9612,2008,1468,898,1,0,1,3,1468
284,179200,2,0,2,2007,0,8012,1992,1575,529,1,0,1,2,1575
285,164700,2,1,2,2007,0,4251,2006,1250,528,1,1,1,2,625
286,159000,1,1,3,2006,0,9786,1962,1734,440,1,0,1,2,912
287,88000,1,0,3,2006,0,8125,1971,858,0,1,0,1,0,858
288,122000,1,0,3,2010,0,9819,1967,900,280,1,0,1,1,882
289,153575,1,0,3,2007,0,8730,1915,1396,384,1,1,1,1,698
290,233230,2,1,3,2006,0,15611,2006,1919,685,1,1,1,2,1079
291,135900,2,0,6,2008,0,5687,1912,1716,0,0,1,1,0,780
292,131000,1,1,3,2009,0,11409,1949,1716,281,1,0,1,1,768
293,235000,2,1,3,2006,0,16659,1977,2263,539,1,1,1,2,795
294,167000,1,0,3,2009,0,9600,1953,1644,418,1,0,1,2,1416
295,142500,1,0,3,2006,0,7937,1984,1003,588,1,0,1,2,1003
296,152000,1,1,4,2007,0,13710,1950,1558,282,1,0,0,1,910
297,239000,2,1,3,2007,0,7399,1997,1950,576,1,1,1,2,975
298,175000,1,2,3,2007,0,11700,1968,1743,539,1,1,1,2,702
299,158500,1,0,3,2009,0,14000,1950,1152,300,1,0,1,1,1092
300,157000,1,0,2,2006,0,15750,1953,1336,375,0,0,1,1,1165
301,267000,2,1,4,2007,0,16226,1998,2452,683,1,1,1,2,1028
302,205000,2,0,3,2006,0,13704,2001,1541,843,1,0,1,3,1541
303,149900,1,0,3,2006,0,9800,1972,894,552,1,0,1,2,894
304,295000,3,0,3,2008,0,18386,1880,3493,870,1,1,0,3,1470
305,305900,2,0,3,2007,0,10386,2004,2000,888,1,0,1,3,2000
306,225000,2,1,4,2007,0,13474,1990,2243,746,1,1,1,3,700
307,89500,1,0,3,2008,0,7920,1920,1406,0,1,0,0,0,319
308,82500,1,0,1,2009,0,12342,1940,861,539,1,0,1,2,861
309,360000,2,0,3,2006,1,12378,2003,1944,708,1,0,1,3,1896
310,165600,2,1,3,2006,0,7685,1993,1501,420,1,1,1,2,697
311,132000,1,0,2,2009,0,8000,1948,972,240,1,0,1,1,972
312,119900,1,0,3,2006,0,7800,1939,1118,410,0,0,0,2,793
313,375000,2,0,3,2009,1,215245,1965,2036,513,1,0,1,2,2136
314,178000,1,1,3,2006,0,9600,1925,1641,546,1,1,0,2,728
315,188500,2,1,3,2009,0,7795,2004,1432,432,1,1,1,2,716
316,260000,2,1,4,2009,0,13005,1980,2353,484,1,1,1,2,845
317,270000,2,1,3,2007,0,9000,2006,1959,1025,1,1,1,3,1088
318,260000,2,1,4,2009,1,9900,1993,2646,656,1,1,1,3,1347
319,187500,2,0,3,2009,0,14115,1980,1472,588,1,0,1,2,1372
320,342643,3,1,4,2006,1,16259,2006,2596,840,1,1,1,3,1249
321,354000,2,1,4,2007,1,12099,2004,2468,872,1,1,1,3,1136
322,301000,2,1,4,2007,0,10380,1986,2730,576,1,1,1,2,1502
323,126175,1,0,3,2006,0,5820,1955,1163,220,1,0,0,1,1162
324,242000,2,1,5,2010,0,11275,1967,2978,564,1,0,1,2,710
325,87000,1,0,2,2007,0,5000,1941,803,360,1,0,0,2,720
326,324000,1,1,1,2008,1,10846,1993,1719,473,1,0,1,2,1719
327,145250,1,1,3,2006,0,11600,1960,1383,292,1,0,1,1,1383
328,214500,2,0,5,2009,0,11888,1916,2134,441,1,1,1,2,844
329,78000,1,0,3,2009,0,6402,1920,1192,189,1,1,0,1,596
330,119000,2,0,6,2007,0,10624,1964,1728,352,0,0,1,1,1728
331,139000,1,0,3,2007,0,8176,1958,1056,308,1,0,1,1,1056
332,284000,2,0,3,2009,1,10655,2003,1629,880,1,0,1,3,3206
333,207000,2,0,2,2008,1,8198,2004,1358,484,1,0,0,2,1358
334,192000,2,1,3,2008,0,9042,1998,1638,472,1,1,1,2,943
335,228950,2,0,3,2008,1,164660,1965,1786,529,0,0,1,2,1499
336,377426,2,0,3,2007,1,14157,2005,1922,676,1,0,1,3,1922
337,214000,2,0,3,2008,0,9135,2002,1536,532,1,0,1,2,1536
338,202500,2,0,3,2006,0,14145,1984,1621,440,1,0,1,2,1208
339,155000,1,0,3,2009,0,12400,1958,1215,297,1,0,1,1,1215
340,202900,2,1,4,2010,1,14191,2002,1908,431,1,1,1,2,967
341,82000,1,0,2,2009,0,8400,1950,841,294,1,0,0,1,721
342,87500,2,0,2,2006,0,8544,1949,1040,400,0,0,1,2,0
343,266000,2,0,2,2008,1,8849,2005,1684,564,1,0,1,2,1684
344,85000,1,1,3,2010,0,2592,1976,1112,336,1,1,0,1,536
345,140200,1,0,3,2006,0,6435,1939,1577,312,1,0,1,1,972
346,151500,1,0,2,2007,0,12772,1960,958,301,1,0,1,1,958
347,157500,2,0,3,2009,0,17600,1960,1478,498,1,0,1,2,1478
348,154000,2,1,2,2008,1,2448,2003,1626,474,0,1,1,2,764
349,437154,2,1,4,2006,1,20431,2005,2728,706,1,1,1,3,1848
350,318061,2,0,2,2007,1,7820,2007,1869,617,1,0,1,2,1869
351,190000,1,1,2,2006,0,5271,1986,1453,445,1,0,1,2,1453
352,95000,1,0,3,2008,0,9084,1941,1111,200,1,0,1,1,616
353,105900,1,0,2,2010,0,8520,1928,720,484,1,0,0,2,624
354,140000,1,0,2,2006,0,8400,1940,1595,240,1,0,1,1,940
355,177500,2,0,3,2007,0,11249,1995,1200,521,1,0,1,2,1200
356,173000,2,0,3,2009,0,9248,1992,1167,400,1,0,1,2,1158
357,134000,1,1,3,2007,0,4224,1976,1142,528,1,0,0,2,1142
358,130000,1,0,3,2006,0,6930,1958,1352,288,1,0,1,1,1062
359,280000,2,1,3,2006,1,12011,1998,1924,592,1,1,1,2,1086
360,156000,1,0,2,2007,0,7540,1978,912,470,1,0,1,2,888
361,145000,1,0,3,2008,0,9144,1940,1505,240,1,0,1,1,883
362,198500,3,0,4,2009,0,7301,2003,1922,672,1,0,1,2,0
363,118000,1,1,2,2009,0,1680,1972,987,264,0,1,0,1,483
364,190000,2,1,3,2006,0,18800,1976,1574,566,1,1,1,2,796
365,147000,1,0,3,2009,0,10690,1920,1344,468,1,1,0,1,672
366,159000,1,1,3,2009,0,9500,1963,1394,514,1,0,1,2,1394
367,165000,1,0,3,2008,0,9150,1962,1431,296,1,0,1,1,1099
368,132000,1,0,2,2010,0,7800,1954,1268,244,1,0,1,1,1268
369,162000,1,0,3,2010,0,9830,1959,1287,576,1,0,1,2,1063
370,172400,2,1,3,2006,0,8121,2000,1664,460,1,1,1,2,953
371,134432,2,0,4,2008,0,17120,1959,1588,680,1,0,1,2,0
