,SalePrice,age,FullBath,HalfBath,BedroomAbvGr,YrSold,Top5,LotArea,YearBuilt,GrLivArea,GarageArea,FancyHouse,TallHouse,LessDense,GarageCars,TotalBsmtSF,exterior,aircon,kitQ,BFT,OverallCond,OverallQual,ABNORMAL
31,149350,44,1,1,3,2008,0,8544,1966,1228,271,1,0,1,1,1228,0,1,0,0,6,5,0
32,179900,3,2,0,3,2008,0,11049,2007,1234,484,1,0,1,2,1234,2,1,0,0,5,8,0
33,165500,51,1,1,4,2010,0,10552,1959,1700,447,1,0,1,2,1398,0,1,0,0,5,5,0
34,277500,5,2,0,2,2007,1,7313,2005,1561,556,1,0,1,2,1561,0,1,1,1,5,9,0
35,309000,6,3,1,4,2006,1,13418,2004,2452,691,1,1,1,3,1117,2,1,0,0,5,8,0
36,145000,16,1,1,3,2009,0,10859,1994,1097,672,1,0,1,2,1097,2,1,0,0,5,5,0
37,153000,56,1,0,3,2009,0,8532,1954,1297,498,1,0,1,2,1297,0,1,0,0,6,5,0
38,109000,57,1,0,3,2010,0,7922,1953,1057,246,1,0,1,1,1057,2,1,0,1,7,5,1
39,82000,55,2,0,2,2008,0,6040,1955,1152,0,0,0,1,0,0,0,0,0,0,5,4,0
40,160000,45,2,0,3,2006,0,8658,1965,1324,440,1,0,1,2,1088,0,1,0,0,5,6,1
41,170000,51,1,1,2,2007,1,16905,1959,1328,308,1,0,1,1,1350,2,1,0,0,6,5,0
42,144000,27,1,0,2,2007,0,9180,1983,884,504,1,0,1,2,840,0,1,0,0,7,5,0
43,130250,35,1,0,3,2008,0,9200,1975,938,308,1,0,1,1,938,2,1,0,0,6,5,0
44,141000,51,1,0,3,2006,0,7945,1959,1150,300,1,0,1,1,1150,0,1,0,0,6,5,0
45,319900,5,2,0,2,2010,1,7658,2005,1752,576,1,0,1,2,1752,0,1,1,1,5,9,0
46,239686,7,1,1,1,2009,0,12822,2003,2149,670,1,0,1,2,1434,2,1,0,1,5,7,1
47,249700,4,2,0,3,2007,0,11096,2006,1656,826,1,0,1,3,1656,2,1,0,1,5,8,0
48,113000,90,2,0,2,2009,0,4456,1920,1452,0,0,1,0,0,736,0,1,0,0,5,4,0
49,127000,44,1,0,3,2007,0,7742,1966,955,386,1,0,1,1,955,0,1,0,0,7,5,0
50,177000,13,2,0,3,2007,0,13869,1997,1470,388,1,1,1,2,794,2,1,0,1,6,6,0
51,114500,76,1,0,3,2006,0,6240,1934,1176,528,1,0,0,2,816,0,1,0,0,6,6,0
52,110000,47,1,0,2,2010,0,8472,1963,816,516,0,0,0,2,816,0,0,0,0,5,5,0
53,385000,29,0,1,0,2006,1,50271,1981,1842,894,1,0,1,3,1842,1,1,0,1,5,9,0
54,130000,55,1,0,3,2007,0,7134,1955,1360,572,1,0,1,2,384,0,1,0,0,5,5,0
55,180500,46,2,0,3,2008,0,10175,1964,1425,576,1,0,1,2,1425,0,1,0,0,5,6,0
56,172500,11,2,1,3,2009,0,2645,1999,1739,480,0,1,1,2,970,0,1,0,1,5,8,1
57,196500,6,2,1,3,2006,0,11645,2004,1720,565,1,1,1,2,860,2,1,0,0,5,7,0
58,438780,4,3,1,3,2006,1,13682,2006,2945,641,1,1,1,3,1410,2,1,0,0,5,10,0
59,124900,38,1,0,2,2008,0,7200,1972,780,352,1,0,1,1,780,0,1,0,0,7,5,0
60,158000,6,1,1,3,2006,0,13072,2004,1158,576,1,0,1,2,1158,2,1,0,0,5,6,0
61,101000,90,1,0,3,2007,0,7200,1920,1111,288,1,1,0,1,530,0,0,0,0,7,5,0
62,202500,4,2,0,2,2007,1,6442,2006,1370,484,1,0,1,2,1370,2,1,0,1,5,8,0
63,140000,89,2,0,3,2010,0,10300,1921,1710,480,1,1,0,2,576,0,1,0,0,6,7,0
64,219500,13,2,1,3,2009,0,9375,1997,2034,645,1,1,1,2,1057,2,1,0,1,5,7,0
65,317000,6,2,1,4,2007,1,9591,2004,2473,852,1,1,1,3,1143,2,1,0,0,5,8,0
66,180000,40,2,0,3,2010,0,19900,1970,2207,576,1,0,1,2,1947,0,1,0,1,5,7,0
67,226000,7,2,0,3,2007,0,10665,2003,1479,558,1,0,1,2,1453,2,1,0,1,5,7,0
68,80000,65,1,0,2,2010,0,4608,1945,747,220,1,0,0,1,747,0,1,0,0,6,4,0
69,225000,57,2,0,3,2006,0,15593,1953,2287,667,1,0,1,2,1304,0,1,0,0,4,7,0
70,244000,37,2,0,3,2007,0,13651,1973,2223,516,1,0,1,2,2223,0,1,0,0,6,7,0
71,129500,28,1,0,2,2007,0,7599,1982,845,360,1,0,1,2,845,0,1,0,0,6,4,0
72,185000,12,2,1,3,2009,0,10141,1998,1718,427,1,1,1,2,832,2,1,0,0,5,7,0
73,144900,56,1,0,3,2010,0,10200,1954,1086,490,1,0,1,2,1086,0,1,0,0,7,5,0
74,107400,95,2,0,3,2010,0,5790,1915,1605,379,1,1,0,1,840,2,0,0,0,6,3,0
75,91000,37,1,0,2,2009,0,1596,1973,988,297,0,0,0,1,462,1,1,0,1,5,4,0
76,135750,54,1,0,2,2008,0,8475,1956,952,283,1,0,1,1,952,2,1,0,0,7,4,0
77,127000,62,1,0,2,2008,0,8635,1948,1285,240,1,0,0,1,672,0,1,0,0,5,5,0
78,136500,42,2,0,4,2010,0,10778,1968,1768,0,0,0,1,0,1768,0,0,0,0,5,4,0
79,110000,100,1,1,2,2009,0,10440,1910,1230,440,1,1,0,2,440,0,1,0,0,6,5,0
80,193500,42,2,1,4,2009,0,13000,1968,2142,509,1,1,1,1,896,2,1,0,0,6,6,0
81,153500,12,2,0,2,2006,0,4500,1998,1337,405,1,0,0,2,1237,2,1,0,1,5,6,0
82,245000,3,2,0,3,2008,0,10206,2007,1563,758,1,0,1,3,1563,2,1,0,1,5,8,0
83,126500,50,1,1,3,2007,0,8892,1960,1065,461,1,0,1,2,1065,0,1,0,0,5,5,0
84,168500,15,2,1,3,2009,0,8530,1995,1474,400,1,0,1,2,384,0,1,0,0,5,7,0
85,260000,19,2,1,4,2006,1,16059,1991,2417,462,1,1,1,2,1288,0,1,0,0,5,8,0
86,174000,5,2,1,3,2009,0,11911,2005,1560,400,1,1,1,2,684,2,1,0,0,5,6,0
87,164500,1,2,1,2,2009,0,3951,2009,1224,528,1,1,1,2,612,2,1,0,0,5,6,0
89,123600,16,1,0,3,2007,0,8070,1994,990,0,1,0,1,0,990,2,1,0,1,5,4,0
90,109900,60,1,0,2,2006,0,7200,1950,1040,420,1,0,1,2,0,0,1,0,0,5,4,0
91,98600,49,1,0,2,2006,0,8500,1961,1235,480,1,0,1,2,1235,0,1,0,0,3,5,1
92,163500,89,1,0,2,2009,0,13360,1921,964,432,1,0,1,2,876,0,1,0,0,7,5,0
94,204750,13,2,1,3,2007,0,9337,1997,1786,684,1,1,1,2,824,2,1,0,1,5,6,0
95,185000,17,2,1,3,2009,0,9765,1993,1470,420,1,1,1,2,680,2,1,0,0,8,6,0
96,214000,11,2,0,3,2006,0,10264,1999,1588,472,1,0,1,2,1588,2,1,0,0,5,7,0
97,94750,45,1,0,3,2007,0,10921,1965,960,432,1,0,1,1,960,0,1,0,0,5,4,0
98,83000,90,1,0,2,2010,0,10625,1920,835,366,1,0,1,1,458,0,0,0,0,5,5,1
99,128950,51,1,1,3,2010,0,9320,1959,1225,0,1,0,1,0,950,0,1,0,0,5,4,0
100,205000,33,2,0,3,2010,0,10603,1977,1610,480,1,0,1,2,1610,0,1,0,0,7,6,0
101,178000,25,2,1,3,2010,0,9206,1985,1732,476,1,1,1,2,741,0,1,0,0,5,6,0
102,118964,31,2,0,4,2009,0,7018,1979,1535,410,0,0,1,2,0,0,1,0,0,5,5,0
103,198900,1,2,0,3,2010,0,10402,2009,1226,740,1,0,1,3,1226,2,1,0,0,5,7,0
104,169500,79,1,1,4,2007,0,7758,1931,1818,240,1,0,0,1,1040,0,1,0,0,4,7,0
105,250000,7,2,1,3,2008,0,9375,2003,1992,648,1,1,1,2,1053,2,1,0,0,5,8,0
106,100000,125,1,0,2,2007,0,10800,1885,1047,273,1,0,0,1,641,2,1,0,0,7,4,0
107,115000,62,1,0,2,2008,0,6000,1948,789,250,1,0,0,1,789,2,1,0,0,5,5,0
108,115000,91,2,0,3,2007,0,8500,1919,1517,0,1,0,0,0,793,1,0,0,0,7,5,0
109,190000,33,2,0,3,2010,0,11751,1977,1844,546,1,0,1,2,1844,0,1,0,0,6,6,0
110,136900,56,2,0,4,2006,0,9525,1954,1855,325,1,0,1,1,994,0,1,0,0,4,6,0
111,180000,10,2,1,3,2010,0,7750,2000,1430,400,1,0,1,2,384,2,1,0,1,5,7,0
112,383970,3,2,1,4,2007,0,9965,2007,2696,792,1,1,1,3,1264,2,1,1,1,5,7,0
113,217000,57,2,0,3,2007,0,21000,1953,2259,450,1,0,1,2,1809,0,1,0,0,5,6,1
114,259500,65,2,1,3,2007,0,7259,1945,2320,180,1,1,1,1,1028,0,1,0,0,8,6,0
115,176000,11,2,1,2,2007,0,3230,1999,1458,440,1,1,1,2,729,0,1,0,1,5,6,0
116,139000,48,1,0,3,2009,0,11616,1962,1092,288,1,0,1,1,1092,0,1,0,0,5,5,0
117,155000,4,1,1,2,2007,0,8536,2006,1125,430,1,0,1,2,1125,2,1,0,0,5,5,0
118,320000,20,3,0,5,2010,0,12376,1990,3222,594,1,1,1,3,1673,0,1,0,1,5,7,0
119,163990,5,2,1,3,2006,0,8461,2005,1456,390,1,1,1,2,728,2,1,0,0,5,6,0
120,180000,41,1,0,1,2006,0,21453,1969,988,540,1,0,1,2,938,0,1,0,0,5,6,0
121,100000,71,1,0,3,2007,0,6060,1939,1123,264,1,0,0,1,732,0,1,0,0,5,4,0
122,136000,52,1,0,3,2008,0,9464,1958,1080,288,1,0,1,1,1080,0,1,0,0,7,6,0
123,153900,17,2,0,2,2008,0,7892,1993,1199,530,1,0,1,2,1199,0,1,0,1,5,6,0
124,181000,31,2,0,3,2009,0,17043,1979,1586,435,1,0,1,2,1362,0,1,0,0,5,6,0
125,84500,75,1,0,2,2006,0,6780,1935,754,0,0,0,0,0,520,0,0,0,1,8,6,0
126,128000,34,2,0,2,2007,0,4928,1976,958,440,1,0,1,2,1078,0,1,0,0,5,6,0
127,87000,80,1,0,3,2007,0,4388,1930,840,0,1,0,0,0,672,0,1,0,0,7,5,0
128,155000,44,1,1,3,2006,0,7590,1966,1348,453,1,1,1,2,660,2,1,0,0,5,6,0
129,150000,52,1,1,3,2006,0,8973,1958,1053,750,1,0,1,2,1008,0,1,1,0,7,5,1
130,226000,44,2,1,4,2006,0,14200,1966,2157,487,1,1,1,2,924,0,1,0,0,6,7,0
131,244000,10,2,1,3,2009,0,12224,2000,2054,390,1,1,1,2,992,2,1,0,1,5,6,0
132,150750,51,1,0,3,2007,0,7388,1959,1327,624,1,0,1,2,1063,0,1,0,0,6,5,0
133,220000,9,2,0,2,2009,1,6853,2001,1296,471,1,0,1,2,1267,2,1,0,1,5,8,0
134,180000,42,2,1,3,2006,0,10335,1968,1721,440,1,0,1,2,1461,0,1,0,0,6,5,0
135,174000,40,2,0,3,2008,0,10400,1970,1682,530,1,0,1,2,1304,0,1,0,0,6,7,0
136,143000,43,2,0,3,2007,0,10355,1967,1214,318,1,0,1,1,1214,0,1,0,0,5,5,0
137,171000,22,3,0,5,2006,0,11070,1988,1959,766,0,0,1,3,1907,2,1,0,0,5,7,0
138,230000,11,2,1,3,2008,0,9066,1999,1852,660,1,1,1,3,1004,2,1,0,1,5,8,0
139,231500,13,2,1,3,2009,0,15426,1997,1764,470,1,1,1,2,928,2,1,0,1,5,6,0
140,115000,39,1,0,3,2010,0,10500,1971,864,0,1,0,1,0,864,0,1,0,0,5,4,0
141,260000,5,2,0,3,2006,0,11645,2005,1734,660,1,0,1,2,1734,2,1,0,1,5,7,0
142,166000,58,2,0,4,2010,0,8520,1952,1385,720,1,0,1,2,910,0,1,0,0,4,5,0
143,204000,11,2,0,3,2009,0,10335,1999,1501,577,1,0,1,2,1490,2,1,0,1,5,7,0
144,125000,47,2,0,6,2006,0,9100,1963,1728,504,0,0,0,2,1728,0,1,0,0,5,5,1
145,130000,6,2,0,3,2006,0,2522,2004,1709,380,0,1,0,2,970,2,1,0,0,5,6,0
146,105000,79,1,0,2,2009,0,6120,1931,875,180,1,0,0,1,715,0,1,0,0,7,5,0
147,222500,9,2,1,3,2010,0,9505,2001,2035,434,1,1,1,2,884,2,1,0,0,5,7,0
148,141000,6,1,0,3,2008,0,7500,2004,1080,0,1,0,1,0,1080,2,1,0,1,5,7,0
149,115000,74,1,0,3,2006,0,6240,1936,1344,240,1,0,0,1,896,0,1,0,0,4,5,0
150,122000,35,1,1,3,2007,0,10356,1975,969,440,1,0,1,2,969,0,1,0,0,6,5,0
151,372402,3,2,0,2,2008,1,13891,2007,1710,866,1,0,1,3,1710,2,1,0,1,5,8,0
152,190000,39,2,1,4,2006,0,14803,1971,1993,495,1,1,1,2,825,0,1,0,0,5,6,0
153,235000,50,1,0,1,2008,0,13500,1960,1252,564,1,0,1,2,1602,0,1,0,0,7,6,0
154,125000,87,1,0,4,2006,0,11340,1923,1200,312,1,0,0,1,1200,0,1,0,0,5,6,0
155,79000,86,1,0,2,2008,0,9600,1924,1096,0,1,0,1,0,572,0,0,0,0,5,6,0
156,109500,60,1,0,2,2006,0,7200,1950,1040,625,1,0,1,2,0,0,1,0,0,7,5,0
157,269500,1,2,1,4,2010,1,12003,2009,1968,680,1,1,1,3,774,2,1,1,0,5,8,0
158,254900,6,2,1,3,2010,0,12552,2004,1947,678,1,1,1,2,991,2,1,0,1,5,7,0
159,320000,5,2,1,4,2006,0,19378,2005,2462,576,1,1,1,2,1392,2,1,0,1,5,7,0
160,162500,26,2,0,3,2008,1,11120,1984,1232,516,1,0,1,2,1232,1,1,0,0,6,6,0
161,412500,7,2,1,3,2008,1,13688,2003,2668,726,1,1,1,3,1572,2,1,1,1,5,9,0
162,220000,5,2,0,3,2010,1,12182,2005,1541,532,1,0,1,2,1541,2,1,0,0,5,7,0
163,103200,54,1,0,1,2007,0,5500,1956,882,0,1,0,1,0,882,0,1,0,0,6,4,0
164,152000,84,2,0,3,2007,0,5400,1926,1616,216,1,0,0,1,1149,0,1,0,0,7,6,0
165,127500,70,2,0,4,2008,0,10106,1940,1355,0,0,0,1,0,644,0,1,0,0,7,5,0
166,190000,55,1,0,2,2009,0,10708,1955,1867,303,1,0,1,1,1617,0,1,0,0,5,5,0
167,325624,3,1,1,3,2007,1,10562,2007,2161,789,1,1,1,3,1582,2,1,1,1,5,8,0
168,183500,6,2,1,3,2007,0,8244,2004,1720,440,1,1,1,2,840,2,1,0,0,5,7,0
169,228000,29,2,1,2,2006,1,16669,1981,1707,511,1,0,1,2,1686,0,1,0,0,6,8,0
170,128500,69,1,1,2,2007,0,12358,1941,1382,660,1,0,0,2,720,0,1,0,0,6,5,0
171,215000,50,1,0,3,2010,0,31770,1960,1656,528,1,0,1,2,1080,0,1,0,0,5,6,0
172,239000,23,2,0,2,2006,1,5306,1987,1767,504,1,1,1,2,1064,0,1,0,1,7,7,0
173,163000,49,1,1,3,2008,0,10197,1961,1362,504,1,0,1,2,1362,0,1,0,0,5,6,0
174,184000,24,2,0,3,2008,1,12416,1986,1651,616,1,0,1,2,1606,2,1,0,0,5,6,0
175,243000,60,2,0,4,2007,0,12615,1950,2158,576,1,0,1,2,1202,0,1,0,0,7,6,0
176,211000,22,2,1,4,2007,0,10029,1988,2060,521,1,1,1,2,1151,0,1,0,1,5,6,0
177,172500,52,2,0,4,2006,0,13650,1958,1920,451,1,0,1,2,1052,0,1,0,0,5,5,0
178,501837,2,2,0,1,2009,1,17423,2008,2234,1166,1,0,1,3,2216,2,1,1,1,5,9,0
179,100000,87,1,0,2,2007,0,8520,1923,968,480,1,0,0,2,968,0,1,0,0,6,5,0
180,177000,10,2,1,3,2007,0,2117,2000,1525,440,0,1,1,2,756,0,1,0,1,5,6,0
181,200100,90,1,1,4,2006,0,7588,1920,1802,216,1,1,1,1,793,0,1,0,0,6,7,0
182,120000,53,1,0,3,2007,0,9060,1957,1340,252,1,0,1,1,0,0,1,0,0,6,5,0
183,200000,7,2,1,3,2008,0,11426,2003,2082,484,1,0,0,2,1362,2,1,0,0,5,7,0
184,127000,102,1,0,3,2006,0,7438,1908,1252,576,1,0,1,2,504,0,1,0,0,8,5,0
185,475000,118,2,1,4,2006,0,22950,1892,3608,840,1,1,0,3,1107,0,1,1,0,9,10,0
186,173000,20,2,0,3,2009,0,9947,1990,1217,497,1,0,1,2,1188,0,1,0,1,5,7,0
187,135000,94,2,1,3,2009,0,10410,1916,1656,180,1,0,1,1,660,0,1,0,0,7,5,0
188,153337,31,0,2,2,2009,0,7018,1979,1224,528,0,0,1,2,1086,0,1,0,1,5,5,0
189,286000,9,1,1,0,2008,1,4923,2001,1593,682,1,0,1,2,1593,1,1,1,1,5,8,0
190,315000,78,2,1,3,2007,0,10570,1932,2727,440,1,1,1,2,853,0,1,0,0,8,8,0
191,184000,38,1,1,4,2007,0,7472,1972,1479,484,1,1,1,2,725,0,1,0,0,9,7,0
192,192000,11,2,0,3,2009,0,9017,1999,1431,666,1,0,1,2,1431,2,1,0,1,5,7,0
193,130000,6,2,0,3,2006,0,2522,2004,1709,380,0,1,0,2,970,2,1,0,0,5,7,0
194,127000,38,1,0,3,2008,0,7180,1972,864,352,1,0,1,1,864,0,1,0,0,7,5,0
195,148500,34,2,1,3,2009,0,2280,1976,1456,440,0,1,1,2,855,0,1,0,0,6,6,0
196,311872,3,2,0,3,2007,0,9416,2007,1726,786,1,0,1,3,1726,1,1,1,1,5,7,0
197,235000,92,2,0,4,2006,0,25419,1918,3112,795,1,1,1,2,1360,0,1,0,1,4,8,1
198,104000,98,1,0,5,2009,0,5520,1912,2229,0,1,1,0,0,755,0,1,0,0,6,6,1
199,274900,6,2,0,3,2009,1,9591,2004,1713,856,1,0,1,3,1713,2,1,1,1,5,8,0
200,140000,7,2,0,2,2010,0,8546,2003,1121,440,1,0,0,2,1121,2,1,0,0,5,4,0
201,171500,33,2,0,3,2008,0,10125,1977,1279,473,1,0,1,2,1196,0,1,0,0,6,6,0
202,112000,86,2,0,2,2006,0,7000,1924,1310,398,1,0,1,1,617,0,1,0,0,6,6,0
203,149000,6,1,0,1,2008,0,4438,2004,848,420,1,0,0,2,848,2,1,0,1,5,6,0
204,110000,63,1,1,2,2009,0,3500,1947,1284,240,1,0,0,1,720,0,1,0,0,7,5,0
205,180500,20,2,0,3,2009,0,11851,1990,1442,500,1,0,1,2,1424,0,1,0,0,5,7,0
206,143900,48,1,1,3,2007,0,13673,1962,1696,349,1,0,1,1,1140,0,1,0,0,5,5,0
207,141000,50,1,0,3,2008,0,12493,1960,1100,312,1,0,1,1,1100,0,1,0,0,5,4,0
208,277000,22,2,1,3,2007,0,14364,1988,2062,454,1,1,1,2,1157,0,1,0,1,5,7,0
209,145000,46,1,0,3,2008,0,8250,1964,1092,504,1,0,1,2,1092,0,1,0,0,7,6,0
210,98000,85,1,0,2,2008,0,5604,1925,864,0,1,0,1,0,864,0,0,0,0,6,5,0
211,186000,1,2,0,3,2010,0,10420,2009,1212,460,1,0,1,2,1212,2,1,0,1,5,6,0
212,252678,1,2,1,3,2009,0,8640,2009,1852,644,1,1,1,2,900,2,1,0,1,5,7,0
213,156000,15,1,0,3,2006,0,13568,1995,990,576,1,0,1,2,990,2,1,0,0,5,5,0
214,161750,33,1,1,3,2010,0,10900,1977,1392,299,1,1,1,1,689,0,1,0,1,7,6,0
215,134450,53,1,0,2,2006,0,10011,1957,1236,447,1,0,1,1,1070,0,1,0,0,6,5,0
216,210000,6,2,0,3,2008,0,8450,2004,1436,484,1,0,1,2,1436,2,1,0,1,5,7,0
217,107000,85,1,0,3,2006,0,9906,1925,1328,210,1,1,0,1,686,0,0,0,0,4,4,0
218,311500,71,1,1,3,2008,0,15660,1939,1954,431,1,0,1,2,798,2,1,0,0,9,7,0
219,167240,5,2,0,2,2006,0,3010,2005,1248,438,1,0,1,2,1248,2,1,0,1,5,7,0
220,204900,4,2,0,2,2006,0,8990,2006,1498,675,1,0,1,2,1498,2,1,0,0,5,7,0
221,200000,8,2,1,4,2009,0,8068,2002,2267,390,1,1,1,2,1010,2,1,0,0,5,6,0
222,179900,35,2,1,3,2006,0,11475,1975,1552,434,1,1,1,2,713,2,1,0,0,6,6,0
223,97000,39,1,0,2,2009,0,10500,1971,864,576,1,0,1,2,864,0,1,0,0,6,4,1
224,386250,7,2,0,3,2009,1,13472,2003,2392,968,1,0,1,3,2392,2,1,1,1,5,10,0
225,112000,39,2,1,3,2009,0,1680,1971,1302,280,0,1,0,1,630,0,1,0,0,5,5,1
226,290000,15,2,1,4,2007,1,9950,1995,2520,721,1,1,1,3,1203,2,1,0,1,5,7,1
227,106000,40,1,1,2,2008,0,1869,1970,987,280,0,1,0,1,483,0,1,0,0,6,6,0
228,125000,43,1,0,3,2010,0,8521,1967,912,336,1,0,1,1,912,0,1,0,0,5,5,0
229,192500,5,2,0,2,2009,0,3182,2005,1555,430,1,0,1,2,1373,2,1,0,1,5,7,0
230,148000,51,1,0,3,2010,0,8760,1959,1194,312,1,0,1,1,1194,0,1,0,0,6,6,0
231,403000,15,2,1,4,2009,1,15138,1995,2794,810,1,1,1,3,1462,2,1,1,1,5,8,0
232,94500,38,1,1,2,2006,0,1680,1972,987,288,0,1,0,1,483,0,1,0,0,5,6,0
233,128200,34,1,0,3,2010,0,10650,1976,894,308,1,0,1,1,894,0,1,0,0,6,5,0
234,216500,8,2,1,4,2010,0,7851,2002,1960,440,1,1,1,2,860,2,1,0,1,5,6,0
235,89500,39,1,1,2,2008,0,1680,1971,987,264,1,1,0,1,483,0,1,0,0,3,6,0
236,185500,6,2,0,3,2010,0,8773,2004,1414,494,1,0,1,2,1414,2,1,0,1,5,7,0
237,194500,17,2,1,3,2010,0,9453,1993,1744,457,1,1,1,2,996,0,1,0,0,7,7,0
238,318000,3,2,0,3,2007,1,12030,2007,1694,818,1,0,1,3,1694,2,1,0,0,5,8,0
239,113000,65,1,1,3,2010,0,8741,1945,1487,220,1,0,1,1,735,2,1,0,0,4,6,0
240,262500,2,2,0,3,2010,0,9000,2008,1566,750,1,0,1,2,1566,2,1,0,1,5,8,0
241,110500,65,1,0,2,2007,0,3880,1945,866,0,1,0,0,0,686,2,1,0,0,9,5,0
242,79000,110,1,0,3,2006,0,5000,1900,1440,352,1,0,0,1,540,0,0,0,0,4,5,0
243,120000,30,1,1,3,2009,0,10762,1980,1217,288,1,1,1,1,626,0,1,0,0,6,6,0
244,205000,16,2,1,3,2010,0,8880,1994,2110,463,1,1,1,2,948,2,1,0,1,5,7,0
245,241500,22,2,0,3,2006,0,10400,1988,1872,604,1,0,1,2,1845,0,1,0,1,5,7,0
246,137000,100,2,0,4,2006,0,9142,1910,1928,440,0,1,0,1,1020,0,0,0,0,8,6,0
247,140000,56,1,0,2,2006,0,11310,1954,1375,451,1,0,1,2,1367,0,1,0,0,5,6,0
248,180000,7,2,1,3,2007,0,11317,2003,1668,500,1,1,1,2,840,2,1,0,0,5,7,0
249,277000,52,2,0,4,2007,0,159000,1958,2144,389,1,0,1,2,1444,0,1,0,0,7,6,0
250,76500,70,1,0,3,2010,0,5350,1940,1306,0,1,0,1,0,728,0,1,0,0,2,3,0
251,235000,4,2,0,2,2007,0,4750,2006,1625,538,1,0,0,2,1573,2,1,0,1,5,8,0
252,173000,6,2,1,3,2008,0,8366,2004,1640,520,1,1,1,2,798,2,1,0,0,5,6,0
253,158000,46,2,0,3,2007,0,9350,1964,1302,309,1,0,1,1,1302,0,1,0,0,7,6,0
254,145000,53,1,0,3,2010,0,8400,1957,1314,294,1,0,1,1,1314,0,1,0,0,6,5,0
255,230000,11,2,1,4,2006,0,8738,1999,2291,429,1,1,1,2,975,2,1,0,0,5,7,0
256,207500,7,2,1,3,2008,0,8791,2003,1728,673,1,1,1,2,864,2,1,0,0,5,6,0
257,220000,4,2,1,3,2009,0,8814,2006,1604,660,1,0,1,2,1604,2,1,0,1,5,7,1
258,231500,9,2,1,3,2008,0,12435,2001,1792,564,1,1,1,2,963,2,1,0,1,5,7,0
259,97000,54,1,0,2,2008,0,12702,1956,882,308,1,0,0,1,0,0,1,0,0,5,5,0
